# {"t_start": 1583172648.5508003, "env_id": "HaroldReach-v0"} 
r,l,t
-200.0,200,3.975382
-200.0,200,5.979077
-200.0,200,7.834321
-200.0,200,9.672973
-200.0,200,11.535187
-142.0,200,13.44721
-122.0,200,15.291298
-198.0,200,17.146469
-200.0,200,19.059974
-200.0,200,20.939333
-200.0,200,22.799693
-191.0,200,24.742123
-200.0,200,26.639709
-200.0,200,28.51832
-200.0,200,30.443419
-200.0,200,32.306076
-200.0,200,34.179345
-200.0,200,36.011533
-200.0,200,37.897989
-69.0,200,39.77296
-200.0,200,41.687599
-136.0,200,43.608107
-200.0,200,45.596559
-200.0,200,47.4418
-200.0,200,49.503404
-200.0,200,51.423311
-200.0,200,53.58753
-200.0,200,55.567333
-190.0,200,57.570971
-200.0,200,59.519736
-200.0,200,61.480634
-200.0,200,63.457614
-181.0,200,65.405205
-200.0,200,67.390727
-200.0,200,69.435085
-192.0,200,71.528728
-200.0,200,73.583829
-195.0,200,75.868507
-200.0,200,77.901411
-200.0,200,79.895731
-198.0,200,82.4964
-200.0,200,84.529771
-200.0,200,86.557686
-196.0,200,89.119777
-196.0,200,91.129189
-200.0,200,93.184191
-198.0,200,95.23928
-185.0,200,97.286953
-200.0,200,99.364625
-200.0,200,101.39834
-115.0,200,103.469045
-200.0,200,104.414508
-200.0,200,105.50535
-200.0,200,106.469004
-195.0,200,107.617209
-109.0,200,108.652735
-195.0,200,109.701196
-200.0,200,110.90165
-200.0,200,112.281753
-200.0,200,113.411141
-200.0,200,114.508473
-200.0,200,116.536067
-200.0,200,118.584899
-172.0,200,120.644696
-148.0,200,122.730594
-200.0,200,124.816019
-188.0,200,126.901854
-153.0,200,128.972722
-200.0,200,131.04273
-200.0,200,133.156026
-200.0,200,135.210668
-190.0,200,137.550205
-186.0,200,139.605785
-115.0,200,141.661597
-200.0,200,143.691098
-200.0,200,145.699101
-169.0,200,147.738601
-200.0,200,149.819507
-200.0,200,151.870943
-200.0,200,153.943145
-200.0,200,155.985508
-200.0,200,158.159554
-200.0,200,160.436538
-69.0,200,162.516165
-200.0,200,164.827173
-191.0,200,166.955403
-194.0,200,169.000371
-124.0,200,171.110856
-200.0,200,173.165349
-200.0,200,175.228597
-200.0,200,177.31485
-200.0,200,179.975343
-200.0,200,182.126882
-200.0,200,184.251887
-200.0,200,186.423481
-200.0,200,188.597395
-200.0,200,190.778121
-200.0,200,192.900481
-200.0,200,194.983699
-200.0,200,197.055954
-200.0,200,199.188674
-200.0,200,201.418207
-196.0,200,203.876153
-200.0,200,206.027559
-200.0,200,208.202107
-200.0,200,210.252472
-200.0,200,212.412381
-200.0,200,214.662512
-200.0,200,216.791743
-200.0,200,218.938657
-200.0,200,220.979102
-200.0,200,221.946487
-200.0,200,222.904592
-200.0,200,223.914443
-200.0,200,224.920297
-200.0,200,225.927729
-195.0,200,226.866546
-200.0,200,227.846148
-200.0,200,228.867279
-200.0,200,229.897567
-182.0,200,230.971519
-200.0,200,233.080528
-184.0,200,235.125047
-200.0,200,237.297373
-200.0,200,239.470806
-200.0,200,241.596413
-200.0,200,243.720208
-200.0,200,245.852879
-200.0,200,247.988507
-173.0,200,250.164126
-200.0,200,252.379923
-200.0,200,254.50957
-200.0,200,256.67512
-200.0,200,258.793983
-200.0,200,260.932463
-200.0,200,263.140675
-200.0,200,265.25676
-181.0,200,267.430071
-200.0,200,269.66572
-200.0,200,271.793491
-200.0,200,274.023676
-170.0,200,276.200391
-199.0,200,278.432431
-200.0,200,280.676461
-196.0,200,282.898712
-200.0,200,285.108136
-172.0,200,287.27077
-200.0,200,289.43857
-200.0,200,291.61907
-197.0,200,293.837833
-85.0,200,296.110281
-200.0,200,298.35863
-200.0,200,300.608291
-184.0,200,303.092035
-52.0,200,305.341519
-199.0,200,307.494831
-192.0,200,309.685507
-200.0,200,311.943086
-200.0,200,314.159984
-200.0,200,316.340534
-22.0,200,318.602412
-200.0,200,320.792126
-200.0,200,323.050131
-200.0,200,325.333399
-200.0,200,327.582122
-200.0,200,329.76852
-27.0,200,332.036064
-200.0,200,334.272481
-187.0,200,336.548759
-200.0,200,338.819817
-200.0,200,340.991189
-200.0,200,341.930127
-200.0,200,342.895525
-200.0,200,343.847628
-5.0,200,344.809958
-200.0,200,345.766964
-200.0,200,346.724064
-200.0,200,347.656765
-200.0,200,349.066786
-200.0,200,349.986485
-200.0,200,351.028532
-200.0,200,353.591151
-200.0,200,355.831127
-200.0,200,358.115555
-192.0,200,360.407823
-200.0,200,362.634215
-200.0,200,364.873572
-196.0,200,367.123442
-200.0,200,369.342664
