# {"t_start": 1583172248.4117243, "env_id": "HaroldReach-v0"} 
r,l,t
-173.0,200,4.136708
-200.0,200,6.147957
-200.0,200,8.094812
-200.0,200,10.024569
-200.0,200,11.92464
-200.0,200,13.896253
-200.0,200,15.911628
-197.0,200,17.844981
-200.0,200,19.810163
-200.0,200,21.779306
-200.0,200,23.720196
-200.0,200,25.59489
-200.0,200,27.570748
-171.0,200,29.579504
-171.0,200,31.55205
-200.0,200,33.468302
-200.0,200,35.371281
-148.0,200,37.320957
-200.0,200,39.207784
-200.0,200,41.185579
-200.0,200,43.147898
-200.0,200,45.11367
-200.0,200,47.198478
-200.0,200,49.17015
-200.0,200,51.60303
-200.0,200,53.672742
-192.0,200,55.780884
-200.0,200,57.843417
-200.0,200,59.903223
-200.0,200,62.028574
-200.0,200,64.177068
-200.0,200,66.317672
-200.0,200,68.489823
-200.0,200,70.622568
-200.0,200,72.794924
-200.0,200,74.97781
-200.0,200,77.042875
-189.0,200,79.170449
-200.0,200,81.408986
-186.0,200,83.659583
-200.0,200,85.85844
-200.0,200,88.026462
-175.0,200,90.161082
-200.0,200,92.738727
-129.0,200,94.88115
-200.0,200,97.09502
-184.0,200,99.162222
-200.0,200,101.316149
-139.0,200,103.497915
-200.0,200,105.689051
-200.0,200,107.774526
-184.0,200,109.096638
-197.0,200,110.696797
-200.0,200,111.758536
-200.0,200,112.7934
-195.0,200,114.283207
-200.0,200,116.001688
-200.0,200,117.476986
-172.0,200,118.51982
-200.0,200,120.039623
-200.0,200,121.173639
-200.0,200,123.511948
-196.0,200,126.664127
-200.0,200,129.019914
-177.0,200,131.251801
-200.0,200,133.400883
-200.0,200,135.592513
-200.0,200,137.854492
-200.0,200,140.072867
-200.0,200,142.311214
-81.0,200,144.518044
-200.0,200,146.708921
-200.0,200,148.86285
-200.0,200,151.408556
-172.0,200,153.664475
-200.0,200,155.890386
-192.0,200,158.634284
-130.0,200,160.923604
-200.0,200,163.021056
-200.0,200,165.224752
-200.0,200,167.56215
-193.0,200,169.873867
-200.0,200,172.136007
-200.0,200,174.464209
-200.0,200,176.656352
-200.0,200,178.918259
-200.0,200,181.185041
-149.0,200,183.386197
-200.0,200,185.644485
-200.0,200,187.910105
-200.0,200,190.160061
-164.0,200,192.512495
-200.0,200,194.85416
-200.0,200,197.099055
-200.0,200,199.35935
-200.0,200,201.668697
-200.0,200,203.873125
-200.0,200,206.115394
-200.0,200,208.344262
-200.0,200,210.617738
-200.0,200,212.797374
-200.0,200,215.071849
-200.0,200,217.198407
-200.0,200,219.391532
-135.0,200,221.629957
-200.0,200,223.849689
-200.0,200,226.01199
-200.0,200,228.121716
-200.0,200,230.38706
-200.0,200,232.583152
-200.0,200,234.847677
-200.0,200,235.772754
-27.0,200,236.846438
-200.0,200,237.908036
-200.0,200,238.963428
-200.0,200,240.038751
-188.0,200,241.38313
-200.0,200,242.345192
-200.0,200,243.345497
-200.0,200,244.37884
-198.0,200,245.374862
-200.0,200,247.62318
-37.0,200,249.813582
-200.0,200,252.065875
-200.0,200,254.318893
-200.0,200,256.451725
-187.0,200,258.869045
-200.0,200,261.153724
-185.0,200,263.404885
-195.0,200,265.735294
-200.0,200,267.942306
-200.0,200,270.156467
-200.0,200,272.39258
-200.0,200,274.561588
-41.0,200,276.777959
-200.0,200,279.027251
-130.0,200,281.284007
-168.0,200,283.485515
-200.0,200,285.742701
-200.0,200,287.989043
-200.0,200,290.244814
-200.0,200,292.506516
-200.0,200,294.76801
-200.0,200,296.987456
-200.0,200,299.267423
-200.0,200,301.479383
-60.0,200,303.665195
-189.0,200,305.932957
-200.0,200,308.150601
-200.0,200,310.405962
-172.0,200,312.7582
-200.0,200,315.061804
-146.0,200,317.368857
-198.0,200,319.563975
-200.0,200,321.816982
-174.0,200,324.048083
-129.0,200,326.348431
-200.0,200,328.61655
-200.0,200,330.764365
-141.0,200,333.034522
-200.0,200,335.303127
-200.0,200,337.579873
-200.0,200,339.83416
-200.0,200,342.075811
-200.0,200,344.378207
-200.0,200,346.575694
-200.0,200,348.934541
-182.0,200,351.20136
-200.0,200,353.447232
-187.0,200,355.673771
-200.0,200,357.879404
-200.0,200,358.813727
-200.0,200,360.536183
-200.0,200,361.555421
-200.0,200,362.516389
-200.0,200,363.501985
-200.0,200,364.444047
-14.0,200,365.500383
-200.0,200,366.544811
-200.0,200,367.556866
