# {"t_start": 1583171513.3174946, "env_id": "HaroldReach-v0"} 
r,l,t
-200.0,200,4.079999
-200.0,200,6.144658
-200.0,200,8.025092
-163.0,200,9.931958
-200.0,200,11.99617
-200.0,200,13.907095
-200.0,200,15.743341
-200.0,200,17.695932
-200.0,200,19.695999
-187.0,200,22.059707
-200.0,200,24.072903
-194.0,200,25.984617
-200.0,200,27.905192
-200.0,200,29.797168
-200.0,200,31.739489
-200.0,200,33.671197
-185.0,200,35.6559
-200.0,200,37.636618
-200.0,200,39.684095
-200.0,200,41.778524
-200.0,200,43.930091
-200.0,200,46.0349
-200.0,200,48.430343
-200.0,200,50.665352
-200.0,200,52.945531
-200.0,200,55.191096
-200.0,200,57.717773
-200.0,200,60.00675
-181.0,200,62.246485
-141.0,200,64.553391
-200.0,200,66.82664
-200.0,200,69.255434
-188.0,200,71.492542
-200.0,200,73.831573
-200.0,200,76.506856
-195.0,200,78.887568
-200.0,200,81.230119
-165.0,200,83.580359
-200.0,200,85.903463
-200.0,200,88.175054
-200.0,200,90.446612
-107.0,200,92.765136
-200.0,200,95.062577
-200.0,200,97.366763
-200.0,200,99.655222
-200.0,200,101.970139
-200.0,200,104.253005
-200.0,200,106.535847
-197.0,200,108.870401
-200.0,200,111.25651
-200.0,200,113.522691
-200.0,200,114.55455
-200.0,200,115.616531
-200.0,200,116.683234
-200.0,200,117.734932
-200.0,200,118.723593
-200.0,200,120.107837
-186.0,200,121.311917
-167.0,200,122.352741
-200.0,200,123.381192
-65.0,200,124.511421
-200.0,200,126.853815
-200.0,200,129.152423
-163.0,200,131.492829
-200.0,200,133.831926
-200.0,200,136.148923
-200.0,200,138.472524
-200.0,200,140.785854
-200.0,200,143.102223
-155.0,200,145.387103
-200.0,200,147.759532
-200.0,200,150.09694
-186.0,200,152.494965
-200.0,200,154.785915
-200.0,200,157.081196
-183.0,200,159.513406
-200.0,200,161.794246
-200.0,200,164.168025
-200.0,200,166.537593
-200.0,200,168.84849
-200.0,200,171.134727
-200.0,200,173.431868
-200.0,200,175.746128
-200.0,200,178.06181
-200.0,200,180.373551
-106.0,200,182.700544
-200.0,200,185.038619
-200.0,200,187.33395
-200.0,200,189.632265
-200.0,200,191.919612
-141.0,200,194.237002
-200.0,200,196.536354
-196.0,200,199.147519
-200.0,200,201.41454
-200.0,200,203.671525
-200.0,200,205.982612
-175.0,200,208.311692
-200.0,200,210.646999
-200.0,200,212.930231
-200.0,200,215.295676
-200.0,200,217.604493
-200.0,200,219.885886
-181.0,200,222.175927
-200.0,200,224.41659
-200.0,200,226.708862
-200.0,200,229.036939
-200.0,200,231.352521
-200.0,200,233.662405
-200.0,200,235.953968
-200.0,200,238.276053
-200.0,200,240.489792
-200.0,200,241.508471
-200.0,200,242.489674
-200.0,200,243.702991
-200.0,200,244.711866
-200.0,200,245.732809
-200.0,200,246.756519
-200.0,200,247.781921
-200.0,200,248.787222
-200.0,200,250.08617
-200.0,200,251.196702
-200.0,200,253.58122
-148.0,200,256.01146
-200.0,200,258.374542
-200.0,200,260.763598
-200.0,200,263.186962
-200.0,200,265.551689
-189.0,200,267.99707
-200.0,200,270.421206
-200.0,200,272.822435
-200.0,200,275.096156
-200.0,200,277.293128
-200.0,200,279.632311
-200.0,200,281.974692
-200.0,200,284.276707
-200.0,200,286.807997
-200.0,200,289.171897
-195.0,200,291.511305
-173.0,200,293.905144
-200.0,200,296.26827
-181.0,200,298.696398
-195.0,200,301.093841
-200.0,200,303.43693
-200.0,200,305.746851
-193.0,200,308.225672
-200.0,200,310.632067
-200.0,200,313.033201
-200.0,200,315.456514
-200.0,200,317.832296
-200.0,200,320.172082
-200.0,200,322.572779
-200.0,200,324.978208
-200.0,200,327.331446
-200.0,200,329.669419
-200.0,200,332.10401
-111.0,200,334.443741
-66.0,200,336.80988
-200.0,200,339.164049
-200.0,200,341.613336
-200.0,200,344.074495
-200.0,200,346.397717
-200.0,200,348.762173
-195.0,200,351.434347
-200.0,200,353.779061
-200.0,200,356.16667
-200.0,200,358.50998
-200.0,200,360.866823
-27.0,200,363.25509
-200.0,200,365.652065
-200.0,200,368.016618
-200.0,200,370.368953
-200.0,200,371.337366
-200.0,200,372.298188
-200.0,200,373.228498
-200.0,200,374.165263
-200.0,200,375.161009
-200.0,200,376.104279
-200.0,200,377.067358
-200.0,200,378.049861
-200.0,200,379.021696
